,ID,Android Development,Web Development,Machine Learning,Data Mining,Digital Marketing,Integration,Content Writing,Database Management,Algorithms & Data Structures,UI developement,Backend Development,Deep Learning,AWS,Testing & Debugging,Photoshop,SEO
52,53,,,8.0,,,,,,2.0,,,6.0,,,,
22,23,,,8.0,,,,,,2.0,,,6.0,,,,
81,82,,,8.0,,,,,,2.0,,,6.0,,,,
32,33,,,10.0,,,,,,3.0,,,3.0,,,,
2,3,,,10.0,,,,,,3.0,,,3.0,,,,
61,62,,,10.0,,,,,,3.0,,,3.0,,,,
42,43,,,6.0,,,,,,5.0,,,5.0,,,,
92,93,,,6.0,,,,,,5.0,,,5.0,,,,
12,13,,,6.0,,,,,,5.0,,,5.0,,,,
71,72,,,6.0,,,,,,5.0,,,5.0,,,,
