,ProjectID,score,Project Title,Description,Android Development,Web Development,Machine Learning,Data Mining,Digital Marketing,Integration,Content Writing,Database Management,data structures & Algorithms,UI developement,Backend Development,Deep Learning,AWS,Testing & Debugging,photoshop,SEO
72,PID73,1.394920583755251,Abc,Dummy desc 4,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
12,PID13,1.270439398667169,Abc,Dummy desc 1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0
32,PID33,1.2148838431116133,ghi,Dummy desc 4,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0
52,PID53,1.2148787667827,def,Dummy desc 4,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0
92,PID93,1.2148787667827,ghi,Dummy desc 7,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0
91,PID92,1.1587301587301588,def,Dummy desc 6,0,0,3,5,0,0,0,0,0,0,0,0,4,0,3,0
51,PID52,1.1218041787071833,Abc,Dummy desc 3,0,0,3,4,0,0,0,0,0,0,0,0,4,0,4,0
28,PID29,1.0942784647146861,def,Dummy desc 3,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
11,PID12,1.0714285714285714,ghi,Dummy desc 3,0,0,3,4,0,0,0,0,0,0,0,0,3,0,5,0
71,PID72,1.0158730158730158,ghi,Dummy desc 6,0,0,3,4,0,0,0,0,0,0,0,0,4,0,5,0
